Date,Home Team,Road Team,City,State,League,Sport
04/11/23,Atlanta Braves,Cincinnati Reds,Atlanta,Georgia,MLB,Baseball
04/11/23,Baltimore Orioles,Oakland Athletics,Baltimore,Maryland,MLB,Baseball
04/11/23,Chicago Cubs,Seattle Mariners,Chicago,Illinois,MLB,Baseball
04/11/23,Cleveland Guardians,New York Yankees,Cleveland,Ohio,MLB,Baseball
04/11/23,Colorado Rockies,St. Louis Cardinals,Denver,Colorado,MLB,Baseball
04/11/23,Minnesota Twins,Chicago White Sox,Minneapolis,Minnesota,MLB,Baseball
04/11/23,New York Mets,San Diego Padres,New York,New York,MLB,Baseball
04/11/23,Philadelphia Phillies,Miami Marlins,Philadelphia,Pennsylvania,MLB,Baseball
04/11/23,Pittsburgh Pirates,Houston Astros,Pittsburgh,Pennsylvania,MLB,Baseball
04/11/23,San Francisco Giants,Los Angeles Dodgers,San Francisco,California,MLB,Baseball
04/11/23,Tampa Bay Rays,Boston Red Sox,Tampa,Florida,MLB,Baseball
04/11/23,Texas Rangers,Kansas City Royals,Arlington,Texas,MLB,Baseball
04/11/23,Toronto Blue Jays,Detroit Tigers,Toronto,Ontario,MLB,Baseball
04/12/23,Los Angeles Angels,Washington Nationals,Los Angeles,California,MLB,Baseball
04/12/23,Arizona Diamondbacks,Milwaukee Brewers,Phoenix,Arizona,MLB,Baseball
04/12/23,Atlanta Braves,Cincinnati Reds,Atlanta,Georgia,MLB,Baseball
04/12/23,Baltimore Orioles,Oakland Athletics,Baltimore,Maryland,MLB,Baseball
04/12/23,Chicago Cubs,Seattle Mariners,Chicago,Illinois,MLB,Baseball
04/12/23,Cleveland Guardians,New York Yankees,Cleveland,Ohio,MLB,Baseball
04/12/23,Colorado Rockies,St. Louis Cardinals,Denver,Colorado,MLB,Baseball
04/12/23,Minnesota Twins,Chicago White Sox,Minneapolis,Minnesota,MLB,Baseball
04/12/23,New York Mets,San Diego Padres,New York,New York,MLB,Baseball
04/12/23,Philadelphia Phillies,Miami Marlins,Philadelphia,Pennsylvania,MLB,Baseball
04/12/23,Pittsburgh Pirates,Houston Astros,Pittsburgh,Pennsylvania,MLB,Baseball
04/12/23,San Francisco Giants,Los Angeles Dodgers,San Francisco,California,MLB,Baseball
04/12/23,Tampa Bay Rays,Boston Red Sox,Tampa,Florida,MLB,Baseball
04/12/23,Texas Rangers,Kansas City Royals,Arlington,Texas,MLB,Baseball
04/12/23,Toronto Blue Jays,Detroit Tigers,Toronto,Ontario,MLB,Baseball
04/13/23,Baltimore Orioles,Oakland Athletics,Baltimore,Maryland,MLB,Baseball
04/13/23,Cincinnati Reds,Philadelphia Phillies,Cincinnati,Ohio,MLB,Baseball
04/13/23,New York Yankees,Minnesota Twins,New York,New York,MLB,Baseball
04/13/23,San Diego Padres,Milwaukee Brewers,San Diego,California,MLB,Baseball
04/13/23,St. Louis Cardinals,Pittsburgh Pirates,St. Louis,Missouri,MLB,Baseball
04/13/23,Tampa Bay Rays,Boston Red Sox,Tampa,Florida,MLB,Baseball
04/13/23,Toronto Blue Jays,Detroit Tigers,Toronto,Ontario,MLB,Baseball
04/14/23,Boston Red Sox,Los Angeles Angels,Boston,Massachusetts,MLB,Baseball
04/14/23,Chicago White Sox,Baltimore Orioles,Chicago,Illinois,MLB,Baseball
04/14/23,Cincinnati Reds,Philadelphia Phillies,Cincinnati,Ohio,MLB,Baseball
04/14/23,Detroit Tigers,San Francisco Giants,Detroit,Michigan,MLB,Baseball
04/14/23,Houston Astros,Texas Rangers,Houston,Texas,MLB,Baseball
04/14/23,Kansas City Royals,Atlanta Braves,Kansas City,Missouri,MLB,Baseball
04/14/23,Los Angeles Dodgers,Chicago Cubs,Los Angeles,California,MLB,Baseball
04/14/23,Miami Marlins,Arizona Diamondbacks,Miami,Florida,MLB,Baseball
04/14/23,New York Yankees,Minnesota Twins,New York,New York,MLB,Baseball
04/14/23,Oakland Athletics,New York Mets,Oakland,California,MLB,Baseball
04/14/23,San Diego Padres,Milwaukee Brewers,San Diego,California,MLB,Baseball
04/14/23,Seattle Mariners,Colorado Rockies,Seattle,Washington,MLB,Baseball
04/14/23,St. Louis Cardinals,Pittsburgh Pirates,St. Louis,Missouri,MLB,Baseball
04/14/23,Toronto Blue Jays,Tampa Bay Rays,Toronto,Ontario,MLB,Baseball
04/14/23,Washington Nationals,Cleveland Guardians,Washington D.C.,Washington D.C.,MLB,Baseball
04/15/23,Boston Red Sox,Los Angeles Angels,Boston,Massachusetts,MLB,Baseball
04/15/23,Chicago White Sox,Baltimore Orioles,Chicago,Illinois,MLB,Baseball
04/15/23,Cincinnati Reds,Philadelphia Phillies,Cincinnati,Ohio,MLB,Baseball
04/15/23,Detroit Tigers,San Francisco Giants,Detroit,Michigan,MLB,Baseball
04/15/23,Houston Astros,Texas Rangers,Houston,Texas,MLB,Baseball
04/15/23,Kansas City Royals,Atlanta Braves,Kansas City,Missouri,MLB,Baseball
04/15/23,Los Angeles Dodgers,Chicago Cubs,Los Angeles,California,MLB,Baseball
04/15/23,Miami Marlins,Arizona Diamondbacks,Miami,Florida,MLB,Baseball
04/15/23,New York Yankees,Minnesota Twins,New York,New York,MLB,Baseball
04/15/23,Oakland Athletics,New York Mets,Oakland,California,MLB,Baseball
04/15/23,San Diego Padres,Milwaukee Brewers,San Diego,California,MLB,Baseball
04/15/23,Seattle Mariners,Colorado Rockies,Seattle,Washington,MLB,Baseball
04/15/23,St. Louis Cardinals,Pittsburgh Pirates,St. Louis,Missouri,MLB,Baseball
04/15/23,Toronto Blue Jays,Tampa Bay Rays,Toronto,Ontario,MLB,Baseball
04/15/23,Washington Nationals,Cleveland Guardians,Washington D.C.,Washington D.C.,MLB,Baseball
04/16/23,Boston Red Sox,Los Angeles Angels,Boston,Massachusetts,MLB,Baseball
04/16/23,Chicago White Sox,Baltimore Orioles,Chicago,Illinois,MLB,Baseball
04/16/23,Cincinnati Reds,Philadelphia Phillies,Cincinnati,Ohio,MLB,Baseball
04/16/23,Houston Astros,Texas Rangers,Houston,Texas,MLB,Baseball
04/16/23,Kansas City Royals,Atlanta Braves,Kansas City,Missouri,MLB,Baseball
04/16/23,Los Angeles Dodgers,Chicago Cubs,Los Angeles,California,MLB,Baseball
