id,game_date,home_team,road_team,city,state,league,sport
201,04/02/2023,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
202,04/02/2023,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
203,04/02/2023,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
204,04/02/2023,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
205,04/02/2023,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
206,04/03/2023,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
207,04/03/2023,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
208,04/03/2023,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
209,04/03/2023,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
210,04/03/2023,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
211,04/03/2023,Los Angeles Dodgers,Colorado Rockies,Los Angeles,California,MLB,Baseball
212,04/03/2023,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
213,04/03/2023,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
214,04/03/2023,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
215,04/03/2023,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
216,04/03/2023,San Diego Padres,Arizona Diamondbacks,San Diego,California,MLB,Baseball
217,04/03/2023,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
218,04/03/2023,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
219,04/03/2023,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
220,04/03/2023,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
221,04/04/2023,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
222,04/04/2023,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
223,04/04/2023,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
224,04/04/2023,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
225,04/04/2023,Los Angeles Dodgers,Colorado Rockies,Los Angeles,California,MLB,Baseball
226,04/04/2023,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
227,04/04/2023,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
228,04/04/2023,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
229,04/04/2023,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
230,04/04/2023,San Diego Padres,Arizona Diamondbacks,San Diego,California,MLB,Baseball
