Home Team,Road Team,Date,Sport
Boston Red Sox,Toronto Blue Jays,"May 01, 2023",Baseball
Houston Astros,San Francisco Giants,"May 01, 2023",Baseball
Los Angeles Dodgers,Philadelphia Phillies,"May 01, 2023",Baseball
New York Yankees,Cleveland Guardians,"May 01, 2023",Baseball
New York Mets,Atlanta Braves,"May 01, 2023",Baseball
New York Mets,Atlanta Braves,"May 01, 2023",Baseball
San Diego Padres,Cincinnati Reds,"May 01, 2023",Baseball
Washington Nationals,Chicago Cubs,"May 01, 2023",Baseball
Boston Red Sox,Toronto Blue Jays,"May 02, 2023",Baseball
Chicago White Sox,Minnesota Twins,"May 02, 2023",Baseball
Colorado Rockies,Milwaukee Brewers,"May 02, 2023",Baseball
Houston Astros,San Francisco Giants,"May 02, 2023",Baseball
Kansas City Royals,Baltimore Orioles,"May 02, 2023",Baseball
Los Angeles Dodgers,Philadelphia Phillies,"May 02, 2023",Baseball
Miami Marlins,Atlanta Braves,"May 02, 2023",Baseball
New York Yankees,Cleveland Guardians,"May 02, 2023",Baseball
Oakland Athletics,Seattle Mariners,"May 02, 2023",Baseball
San Diego Padres,Cincinnati Reds,"May 02, 2023",Baseball
St. Louis Cardinals,Los Angeles Angels,"May 02, 2023",Baseball
Tampa Bay Rays,Pittsburgh Pirates,"May 02, 2023",Baseball
Texas Rangers,Arizona Diamondbacks,"May 02, 2023",Baseball
Washington Nationals,Chicago Cubs,"May 02, 2023",Baseball
Boston Red Sox,Toronto Blue Jays,"May 03, 2023",Baseball
Chicago White Sox,Minnesota Twins,"May 03, 2023",Baseball
Colorado Rockies,Milwaukee Brewers,"May 03, 2023",Baseball
Detroit Tigers,New York Mets,"May 03, 2023",Baseball
Detroit Tigers,New York Mets,"May 03, 2023",Baseball
Houston Astros,San Francisco Giants,"May 03, 2023",Baseball
Kansas City Royals,Baltimore Orioles,"May 03, 2023",Baseball
Los Angeles Dodgers,Philadelphia Phillies,"May 03, 2023",Baseball
Miami Marlins,Atlanta Braves,"May 03, 2023",Baseball
New York Yankees,Cleveland Guardians,"May 03, 2023",Baseball
Oakland Athletics,Seattle Mariners,"May 03, 2023",Baseball
San Diego Padres,Cincinnati Reds,"May 03, 2023",Baseball
St. Louis Cardinals,Los Angeles Angels,"May 03, 2023",Baseball
Tampa Bay Rays,Pittsburgh Pirates,"May 03, 2023",Baseball
Texas Rangers,Arizona Diamondbacks,"May 03, 2023",Baseball
Washington Nationals,Chicago Cubs,"May 03, 2023",Baseball
Boston Red Sox,Toronto Blue Jays,"May 04, 2023",Baseball
Chicago White Sox,Minnesota Twins,"May 04, 2023",Baseball
Colorado Rockies,Milwaukee Brewers,"May 04, 2023",Baseball
Detroit Tigers,New York Mets,"May 04, 2023",Baseball
Kansas City Royals,Baltimore Orioles,"May 04, 2023",Baseball
Miami Marlins,Atlanta Braves,"May 04, 2023",Baseball
Oakland Athletics,Seattle Mariners,"May 04, 2023",Baseball
St. Louis Cardinals,Los Angeles Angels,"May 04, 2023",Baseball
Tampa Bay Rays,Pittsburgh Pirates,"May 04, 2023",Baseball
Washington Nationals,Chicago Cubs,"May 04, 2023",Baseball
Los Angeles Angels,Texas Rangers,"May 05, 2023",Baseball
Arizona Diamondbacks,Washington Nationals,"May 05, 2023",Baseball
Atlanta Braves,Baltimore Orioles,"May 05, 2023",Baseball
Chicago Cubs,Miami Marlins,"May 05, 2023",Baseball
Cincinnati Reds,Chicago White Sox,"May 05, 2023",Baseball
Cleveland Guardians,Minnesota Twins,"May 05, 2023",Baseball
Kansas City Royals,Oakland Athletics,"May 05, 2023",Baseball
New York Mets,Colorado Rockies,"May 05, 2023",Baseball
Philadelphia Phillies,Boston Red Sox,"May 05, 2023",Baseball
Pittsburgh Pirates,Toronto Blue Jays,"May 05, 2023",Baseball
San Diego Padres,Los Angeles Dodgers,"May 05, 2023",Baseball
Seattle Mariners,Houston Astros,"May 05, 2023",Baseball
San Francisco Giants,Milwaukee Brewers,"May 05, 2023",Baseball
St. Louis Cardinals,Detroit Tigers,"May 05, 2023",Baseball
Tampa Bay Rays,New York Yankees,"May 05, 2023",Baseball
Los Angeles Angels,Texas Rangers,"May 06, 2023",Baseball
Arizona Diamondbacks,Washington Nationals,"May 06, 2023",Baseball
Atlanta Braves,Baltimore Orioles,"May 06, 2023",Baseball
Chicago Cubs,Miami Marlins,"May 06, 2023",Baseball
Cincinnati Reds,Chicago White Sox,"May 06, 2023",Baseball
Cleveland Guardians,Minnesota Twins,"May 06, 2023",Baseball
Kansas City Royals,Oakland Athletics,"May 06, 2023",Baseball
New York Mets,Colorado Rockies,"May 06, 2023",Baseball
Philadelphia Phillies,Boston Red Sox,"May 06, 2023",Baseball
Pittsburgh Pirates,Toronto Blue Jays,"May 06, 2023",Baseball
San Diego Padres,Los Angeles Dodgers,"May 06, 2023",Baseball
Seattle Mariners,Houston Astros,"May 06, 2023",Baseball
San Francisco Giants,Milwaukee Brewers,"May 06, 2023",Baseball
St. Louis Cardinals,Detroit Tigers,"May 06, 2023",Baseball
Tampa Bay Rays,New York Yankees,"May 06, 2023",Baseball
Los Angeles Angels,Texas Rangers,"May 07, 2023",Baseball
Arizona Diamondbacks,Washington Nationals,"May 07, 2023",Baseball
Atlanta Braves,Baltimore Orioles,"May 07, 2023",Baseball
Chicago Cubs,Miami Marlins,"May 07, 2023",Baseball
Cincinnati Reds,Chicago White Sox,"May 07, 2023",Baseball
Cleveland Guardians,Minnesota Twins,"May 07, 2023",Baseball
Kansas City Royals,Oakland Athletics,"May 07, 2023",Baseball
New York Mets,Colorado Rockies,"May 07, 2023",Baseball
Philadelphia Phillies,Boston Red Sox,"May 07, 2023",Baseball
Pittsburgh Pirates,Toronto Blue Jays,"May 07, 2023",Baseball
San Diego Padres,Los Angeles Dodgers,"May 07, 2023",Baseball
Seattle Mariners,Houston Astros,"May 07, 2023",Baseball
San Francisco Giants,Milwaukee Brewers,"May 07, 2023",Baseball
St. Louis Cardinals,Detroit Tigers,"May 07, 2023",Baseball
Tampa Bay Rays,New York Yankees,"May 07, 2023",Baseball
Los Angeles Angels,Houston Astros,"May 08, 2023",Baseball
Arizona Diamondbacks,Miami Marlins,"May 08, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"May 08, 2023",Baseball
Chicago Cubs,St. Louis Cardinals,"May 08, 2023",Baseball
Cleveland Guardians,Detroit Tigers,"May 08, 2023",Baseball
Kansas City Royals,Chicago White Sox,"May 08, 2023",Baseball
Milwaukee Brewers,Los Angeles Dodgers,"May 08, 2023",Baseball
New York Yankees,Oakland Athletics,"May 08, 2023",Baseball
Pittsburgh Pirates,Colorado Rockies,"May 08, 2023",Baseball
Seattle Mariners,Texas Rangers,"May 08, 2023",Baseball
San Francisco Giants,Washington Nationals,"May 08, 2023",Baseball
Los Angeles Angels,Houston Astros,"May 09, 2023",Baseball
Arizona Diamondbacks,Miami Marlins,"May 09, 2023",Baseball
Atlanta Braves,Boston Red Sox,"May 09, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"May 09, 2023",Baseball
Chicago Cubs,St. Louis Cardinals,"May 09, 2023",Baseball
Cincinnati Reds,New York Mets,"May 09, 2023",Baseball
Cleveland Guardians,Detroit Tigers,"May 09, 2023",Baseball
Kansas City Royals,Chicago White Sox,"May 09, 2023",Baseball
Milwaukee Brewers,Los Angeles Dodgers,"May 09, 2023",Baseball
Minnesota Twins,San Diego Padres,"May 09, 2023",Baseball
New York Yankees,Oakland Athletics,"May 09, 2023",Baseball
Philadelphia Phillies,Toronto Blue Jays,"May 09, 2023",Baseball
Pittsburgh Pirates,Colorado Rockies,"May 09, 2023",Baseball
Seattle Mariners,Texas Rangers,"May 09, 2023",Baseball
San Francisco Giants,Washington Nationals,"May 09, 2023",Baseball
Los Angeles Angels,Houston Astros,"May 10, 2023",Baseball
Arizona Diamondbacks,Miami Marlins,"May 10, 2023",Baseball
Atlanta Braves,Boston Red Sox,"May 10, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"May 10, 2023",Baseball
Chicago Cubs,St. Louis Cardinals,"May 10, 2023",Baseball
Cincinnati Reds,New York Mets,"May 10, 2023",Baseball
Cleveland Guardians,Detroit Tigers,"May 10, 2023",Baseball
Kansas City Royals,Chicago White Sox,"May 10, 2023",Baseball
Milwaukee Brewers,Los Angeles Dodgers,"May 10, 2023",Baseball
Minnesota Twins,San Diego Padres,"May 10, 2023",Baseball
New York Yankees,Oakland Athletics,"May 10, 2023",Baseball
Philadelphia Phillies,Toronto Blue Jays,"May 10, 2023",Baseball
Pittsburgh Pirates,Colorado Rockies,"May 10, 2023",Baseball
Seattle Mariners,Texas Rangers,"May 10, 2023",Baseball
San Francisco Giants,Washington Nationals,"May 10, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"May 11, 2023",Baseball
Cincinnati Reds,New York Mets,"May 11, 2023",Baseball
Kansas City Royals,Chicago White Sox,"May 11, 2023",Baseball
Minnesota Twins,San Diego Padres,"May 11, 2023",Baseball
New York Yankees,Tampa Bay Rays,"May 11, 2023",Baseball
Oakland Athletics,Texas Rangers,"May 11, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"May 12, 2023",Baseball
Baltimore Orioles,Pittsburgh Pirates,"May 12, 2023",Baseball
Boston Red Sox,St. Louis Cardinals,"May 12, 2023",Baseball
Chicago White Sox,Houston Astros,"May 12, 2023",Baseball
Cleveland Guardians,Los Angeles Angels,"May 12, 2023",Baseball
Colorado Rockies,Philadelphia Phillies,"May 12, 2023",Baseball
Detroit Tigers,Seattle Mariners,"May 12, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"May 12, 2023",Baseball
Miami Marlins,Cincinnati Reds,"May 12, 2023",Baseball
Milwaukee Brewers,Kansas City Royals,"May 12, 2023",Baseball
Minnesota Twins,Chicago Cubs,"May 12, 2023",Baseball
New York Yankees,Tampa Bay Rays,"May 12, 2023",Baseball
Oakland Athletics,Texas Rangers,"May 12, 2023",Baseball
Toronto Blue Jays,Atlanta Braves,"May 12, 2023",Baseball
Washington Nationals,New York Mets,"May 12, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"May 13, 2023",Baseball
Baltimore Orioles,Pittsburgh Pirates,"May 13, 2023",Baseball
Boston Red Sox,St. Louis Cardinals,"May 13, 2023",Baseball
Chicago White Sox,Houston Astros,"May 13, 2023",Baseball
Cleveland Guardians,Los Angeles Angels,"May 13, 2023",Baseball
Colorado Rockies,Philadelphia Phillies,"May 13, 2023",Baseball
Detroit Tigers,Seattle Mariners,"May 13, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"May 13, 2023",Baseball
Miami Marlins,Cincinnati Reds,"May 13, 2023",Baseball
Milwaukee Brewers,Kansas City Royals,"May 13, 2023",Baseball
Minnesota Twins,Chicago Cubs,"May 13, 2023",Baseball
New York Yankees,Tampa Bay Rays,"May 13, 2023",Baseball
Oakland Athletics,Texas Rangers,"May 13, 2023",Baseball
Toronto Blue Jays,Atlanta Braves,"May 13, 2023",Baseball
Washington Nationals,New York Mets,"May 13, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"May 14, 2023",Baseball
Baltimore Orioles,Pittsburgh Pirates,"May 14, 2023",Baseball
Boston Red Sox,St. Louis Cardinals,"May 14, 2023",Baseball
Chicago White Sox,Houston Astros,"May 14, 2023",Baseball
Cleveland Guardians,Los Angeles Angels,"May 14, 2023",Baseball
Colorado Rockies,Philadelphia Phillies,"May 14, 2023",Baseball
Detroit Tigers,Seattle Mariners,"May 14, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"May 14, 2023",Baseball
Miami Marlins,Cincinnati Reds,"May 14, 2023",Baseball
Milwaukee Brewers,Kansas City Royals,"May 14, 2023",Baseball
Minnesota Twins,Chicago Cubs,"May 14, 2023",Baseball
New York Yankees,Tampa Bay Rays,"May 14, 2023",Baseball
Oakland Athletics,Texas Rangers,"May 14, 2023",Baseball
Toronto Blue Jays,Atlanta Braves,"May 14, 2023",Baseball
Washington Nationals,New York Mets,"May 14, 2023",Baseball
Baltimore Orioles,Los Angeles Angels,"May 15, 2023",Baseball
Boston Red Sox,Seattle Mariners,"May 15, 2023",Baseball
Colorado Rockies,Cincinnati Reds,"May 15, 2023",Baseball
Houston Astros,Chicago Cubs,"May 15, 2023",Baseball
Los Angeles Dodgers,Minnesota Twins,"May 15, 2023",Baseball
Oakland Athletics,Arizona Diamondbacks,"May 15, 2023",Baseball
San Diego Padres,Kansas City Royals,"May 15, 2023",Baseball
San Francisco Giants,Philadelphia Phillies,"May 15, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"May 15, 2023",Baseball
Texas Rangers,Atlanta Braves,"May 15, 2023",Baseball
Toronto Blue Jays,New York Yankees,"May 15, 2023",Baseball
Washington Nationals,New York Mets,"May 15, 2023",Baseball
Baltimore Orioles,Los Angeles Angels,"May 16, 2023",Baseball
Boston Red Sox,Seattle Mariners,"May 16, 2023",Baseball
Chicago White Sox,Cleveland Guardians,"May 16, 2023",Baseball
Colorado Rockies,Cincinnati Reds,"May 16, 2023",Baseball
Detroit Tigers,Pittsburgh Pirates,"May 16, 2023",Baseball
Houston Astros,Chicago Cubs,"May 16, 2023",Baseball
Los Angeles Dodgers,Minnesota Twins,"May 16, 2023",Baseball
Miami Marlins,Washington Nationals,"May 16, 2023",Baseball
New York Mets,Tampa Bay Rays,"May 16, 2023",Baseball
Oakland Athletics,Arizona Diamondbacks,"May 16, 2023",Baseball
San Diego Padres,Kansas City Royals,"May 16, 2023",Baseball
San Francisco Giants,Philadelphia Phillies,"May 16, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"May 16, 2023",Baseball
Texas Rangers,Atlanta Braves,"May 16, 2023",Baseball
Toronto Blue Jays,New York Yankees,"May 16, 2023",Baseball
Baltimore Orioles,Los Angeles Angels,"May 17, 2023",Baseball
Boston Red Sox,Seattle Mariners,"May 17, 2023",Baseball
Chicago White Sox,Cleveland Guardians,"May 17, 2023",Baseball
Colorado Rockies,Cincinnati Reds,"May 17, 2023",Baseball
Detroit Tigers,Pittsburgh Pirates,"May 17, 2023",Baseball
Houston Astros,Chicago Cubs,"May 17, 2023",Baseball
Los Angeles Dodgers,Minnesota Twins,"May 17, 2023",Baseball
Miami Marlins,Washington Nationals,"May 17, 2023",Baseball
New York Mets,Tampa Bay Rays,"May 17, 2023",Baseball
Oakland Athletics,Arizona Diamondbacks,"May 17, 2023",Baseball
San Diego Padres,Kansas City Royals,"May 17, 2023",Baseball
San Francisco Giants,Philadelphia Phillies,"May 17, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"May 17, 2023",Baseball
Texas Rangers,Atlanta Braves,"May 17, 2023",Baseball
Toronto Blue Jays,New York Yankees,"May 17, 2023",Baseball
Baltimore Orioles,Los Angeles Angels,"May 18, 2023",Baseball
Chicago White Sox,Cleveland Guardians,"May 18, 2023",Baseball
Miami Marlins,Washington Nationals,"May 18, 2023",Baseball
New York Mets,Tampa Bay Rays,"May 18, 2023",Baseball
St. Louis Cardinals,Los Angeles Dodgers,"May 18, 2023",Baseball
Toronto Blue Jays,New York Yankees,"May 18, 2023",Baseball
Los Angeles Angels,Minnesota Twins,"May 19, 2023",Baseball
Atlanta Braves,Seattle Mariners,"May 19, 2023",Baseball
Chicago White Sox,Kansas City Royals,"May 19, 2023",Baseball
Cincinnati Reds,New York Yankees,"May 19, 2023",Baseball
Houston Astros,Oakland Athletics,"May 19, 2023",Baseball
New York Mets,Cleveland Guardians,"May 19, 2023",Baseball
Philadelphia Phillies,Chicago Cubs,"May 19, 2023",Baseball
Pittsburgh Pirates,Arizona Diamondbacks,"May 19, 2023",Baseball
San Diego Padres,Boston Red Sox,"May 19, 2023",Baseball
San Francisco Giants,Miami Marlins,"May 19, 2023",Baseball
St. Louis Cardinals,Los Angeles Dodgers,"May 19, 2023",Baseball
Tampa Bay Rays,Milwaukee Brewers,"May 19, 2023",Baseball
Texas Rangers,Colorado Rockies,"May 19, 2023",Baseball
Toronto Blue Jays,Baltimore Orioles,"May 19, 2023",Baseball
Washington Nationals,Detroit Tigers,"May 19, 2023",Baseball
Los Angeles Angels,Minnesota Twins,"May 20, 2023",Baseball
Atlanta Braves,Seattle Mariners,"May 20, 2023",Baseball
Chicago White Sox,Kansas City Royals,"May 20, 2023",Baseball
Cincinnati Reds,New York Yankees,"May 20, 2023",Baseball
Houston Astros,Oakland Athletics,"May 20, 2023",Baseball
Philadelphia Phillies,Chicago Cubs,"May 20, 2023",Baseball
Pittsburgh Pirates,Arizona Diamondbacks,"May 20, 2023",Baseball
San Diego Padres,Boston Red Sox,"May 20, 2023",Baseball
San Francisco Giants,Miami Marlins,"May 20, 2023",Baseball
St. Louis Cardinals,Los Angeles Dodgers,"May 20, 2023",Baseball
Tampa Bay Rays,Milwaukee Brewers,"May 20, 2023",Baseball
Texas Rangers,Colorado Rockies,"May 20, 2023",Baseball
Toronto Blue Jays,Baltimore Orioles,"May 20, 2023",Baseball
Washington Nationals,Detroit Tigers,"May 20, 2023",Baseball
Los Angeles Angels,Minnesota Twins,"May 21, 2023",Baseball
Atlanta Braves,Seattle Mariners,"May 21, 2023",Baseball
Chicago White Sox,Kansas City Royals,"May 21, 2023",Baseball
Cincinnati Reds,New York Yankees,"May 21, 2023",Baseball
Houston Astros,Oakland Athletics,"May 21, 2023",Baseball
New York Mets,Cleveland Guardians,"May 21, 2023",Baseball
New York Mets,Cleveland Guardians,"May 21, 2023",Baseball
Philadelphia Phillies,Chicago Cubs,"May 21, 2023",Baseball
Pittsburgh Pirates,Arizona Diamondbacks,"May 21, 2023",Baseball
San Diego Padres,Boston Red Sox,"May 21, 2023",Baseball
San Francisco Giants,Miami Marlins,"May 21, 2023",Baseball
St. Louis Cardinals,Los Angeles Dodgers,"May 21, 2023",Baseball
Tampa Bay Rays,Milwaukee Brewers,"May 21, 2023",Baseball
Texas Rangers,Colorado Rockies,"May 21, 2023",Baseball
Toronto Blue Jays,Baltimore Orioles,"May 21, 2023",Baseball
Washington Nationals,Detroit Tigers,"May 21, 2023",Baseball
Los Angeles Angels,Boston Red Sox,"May 22, 2023",Baseball
Atlanta Braves,Los Angeles Dodgers,"May 22, 2023",Baseball
Cincinnati Reds,St. Louis Cardinals,"May 22, 2023",Baseball
Cleveland Guardians,Chicago White Sox,"May 22, 2023",Baseball
Colorado Rockies,Miami Marlins,"May 22, 2023",Baseball
Kansas City Royals,Detroit Tigers,"May 22, 2023",Baseball
Milwaukee Brewers,Houston Astros,"May 22, 2023",Baseball
Minnesota Twins,San Francisco Giants,"May 22, 2023",Baseball
Philadelphia Phillies,Arizona Diamondbacks,"May 22, 2023",Baseball
Pittsburgh Pirates,Texas Rangers,"May 22, 2023",Baseball
Seattle Mariners,Oakland Athletics,"May 22, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"May 22, 2023",Baseball
Los Angeles Angels,Boston Red Sox,"May 23, 2023",Baseball
Atlanta Braves,Los Angeles Dodgers,"May 23, 2023",Baseball
Chicago Cubs,New York Mets,"May 23, 2023",Baseball
Cincinnati Reds,St. Louis Cardinals,"May 23, 2023",Baseball
Cleveland Guardians,Chicago White Sox,"May 23, 2023",Baseball
Colorado Rockies,Miami Marlins,"May 23, 2023",Baseball
Kansas City Royals,Detroit Tigers,"May 23, 2023",Baseball
Milwaukee Brewers,Houston Astros,"May 23, 2023",Baseball
Minnesota Twins,San Francisco Giants,"May 23, 2023",Baseball
New York Yankees,Baltimore Orioles,"May 23, 2023",Baseball
Philadelphia Phillies,Arizona Diamondbacks,"May 23, 2023",Baseball
Pittsburgh Pirates,Texas Rangers,"May 23, 2023",Baseball
Seattle Mariners,Oakland Athletics,"May 23, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"May 23, 2023",Baseball
Washington Nationals,San Diego Padres,"May 23, 2023",Baseball
Los Angeles Angels,Boston Red Sox,"May 24, 2023",Baseball
Atlanta Braves,Los Angeles Dodgers,"May 24, 2023",Baseball
Chicago Cubs,New York Mets,"May 24, 2023",Baseball
Cincinnati Reds,St. Louis Cardinals,"May 24, 2023",Baseball
Cleveland Guardians,Chicago White Sox,"May 24, 2023",Baseball
Colorado Rockies,Miami Marlins,"May 24, 2023",Baseball
Kansas City Royals,Detroit Tigers,"May 24, 2023",Baseball
Milwaukee Brewers,Houston Astros,"May 24, 2023",Baseball
Minnesota Twins,San Francisco Giants,"May 24, 2023",Baseball
New York Yankees,Baltimore Orioles,"May 24, 2023",Baseball
Philadelphia Phillies,Arizona Diamondbacks,"May 24, 2023",Baseball
Pittsburgh Pirates,Texas Rangers,"May 24, 2023",Baseball
Seattle Mariners,Oakland Athletics,"May 24, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"May 24, 2023",Baseball
Washington Nationals,San Diego Padres,"May 24, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"May 25, 2023",Baseball
Chicago Cubs,New York Mets,"May 25, 2023",Baseball
Cincinnati Reds,St. Louis Cardinals,"May 25, 2023",Baseball
Colorado Rockies,Miami Marlins,"May 25, 2023",Baseball
Detroit Tigers,Chicago White Sox,"May 25, 2023",Baseball
Milwaukee Brewers,San Francisco Giants,"May 25, 2023",Baseball
New York Yankees,Baltimore Orioles,"May 25, 2023",Baseball
Seattle Mariners,Oakland Athletics,"May 25, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"May 25, 2023",Baseball
Washington Nationals,San Diego Padres,"May 25, 2023",Baseball
Los Angeles Angels,Miami Marlins,"May 26, 2023",Baseball
Arizona Diamondbacks,Boston Red Sox,"May 26, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"May 26, 2023",Baseball
Baltimore Orioles,Texas Rangers,"May 26, 2023",Baseball
Chicago Cubs,Cincinnati Reds,"May 26, 2023",Baseball
Cleveland Guardians,St. Louis Cardinals,"May 26, 2023",Baseball
Colorado Rockies,New York Mets,"May 26, 2023",Baseball
Detroit Tigers,Chicago White Sox,"May 26, 2023",Baseball
Kansas City Royals,Washington Nationals,"May 26, 2023",Baseball
Milwaukee Brewers,San Francisco Giants,"May 26, 2023",Baseball
Minnesota Twins,Toronto Blue Jays,"May 26, 2023",Baseball
New York Yankees,San Diego Padres,"May 26, 2023",Baseball
Oakland Athletics,Houston Astros,"May 26, 2023",Baseball
Seattle Mariners,Pittsburgh Pirates,"May 26, 2023",Baseball
Tampa Bay Rays,Los Angeles Dodgers,"May 26, 2023",Baseball
Los Angeles Angels,Miami Marlins,"May 27, 2023",Baseball
Arizona Diamondbacks,Boston Red Sox,"May 27, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"May 27, 2023",Baseball
Baltimore Orioles,Texas Rangers,"May 27, 2023",Baseball
Chicago Cubs,Cincinnati Reds,"May 27, 2023",Baseball
Cleveland Guardians,St. Louis Cardinals,"May 27, 2023",Baseball
Colorado Rockies,New York Mets,"May 27, 2023",Baseball
Detroit Tigers,Chicago White Sox,"May 27, 2023",Baseball
Kansas City Royals,Washington Nationals,"May 27, 2023",Baseball
Milwaukee Brewers,San Francisco Giants,"May 27, 2023",Baseball
Minnesota Twins,Toronto Blue Jays,"May 27, 2023",Baseball
New York Yankees,San Diego Padres,"May 27, 2023",Baseball
Oakland Athletics,Houston Astros,"May 27, 2023",Baseball
Seattle Mariners,Pittsburgh Pirates,"May 27, 2023",Baseball
Tampa Bay Rays,Los Angeles Dodgers,"May 27, 2023",Baseball
Los Angeles Angels,Miami Marlins,"May 28, 2023",Baseball
Arizona Diamondbacks,Boston Red Sox,"May 28, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"May 28, 2023",Baseball
Baltimore Orioles,Texas Rangers,"May 28, 2023",Baseball
Chicago Cubs,Cincinnati Reds,"May 28, 2023",Baseball
Cleveland Guardians,St. Louis Cardinals,"May 28, 2023",Baseball
Colorado Rockies,New York Mets,"May 28, 2023",Baseball
Detroit Tigers,Chicago White Sox,"May 28, 2023",Baseball
Kansas City Royals,Washington Nationals,"May 28, 2023",Baseball
Milwaukee Brewers,San Francisco Giants,"May 28, 2023",Baseball
Minnesota Twins,Toronto Blue Jays,"May 28, 2023",Baseball
New York Yankees,San Diego Padres,"May 28, 2023",Baseball
Oakland Athletics,Houston Astros,"May 28, 2023",Baseball
Seattle Mariners,Pittsburgh Pirates,"May 28, 2023",Baseball
Tampa Bay Rays,Los Angeles Dodgers,"May 28, 2023",Baseball
Arizona Diamondbacks,Colorado Rockies,"May 29, 2023",Baseball
Baltimore Orioles,Cleveland Guardians,"May 29, 2023",Baseball
Chicago White Sox,Los Angeles Angels,"May 29, 2023",Baseball
Chicago Cubs,Tampa Bay Rays,"May 29, 2023",Baseball
Detroit Tigers,Texas Rangers,"May 29, 2023",Baseball
Houston Astros,Minnesota Twins,"May 29, 2023",Baseball
Los Angeles Dodgers,Washington Nationals,"May 29, 2023",Baseball
Oakland Athletics,Atlanta Braves,"May 29, 2023",Baseball
Seattle Mariners,New York Yankees,"May 29, 2023",Baseball
San Francisco Giants,Pittsburgh Pirates,"May 29, 2023",Baseball
St. Louis Cardinals,Kansas City Royals,"May 29, 2023",Baseball
Arizona Diamondbacks,Colorado Rockies,"May 30, 2023",Baseball
Baltimore Orioles,Cleveland Guardians,"May 30, 2023",Baseball
Boston Red Sox,Cincinnati Reds,"May 30, 2023",Baseball
Chicago White Sox,Los Angeles Angels,"May 30, 2023",Baseball
Chicago Cubs,Tampa Bay Rays,"May 30, 2023",Baseball
Detroit Tigers,Texas Rangers,"May 30, 2023",Baseball
Houston Astros,Minnesota Twins,"May 30, 2023",Baseball
Los Angeles Dodgers,Washington Nationals,"May 30, 2023",Baseball
Miami Marlins,San Diego Padres,"May 30, 2023",Baseball
New York Mets,Philadelphia Phillies,"May 30, 2023",Baseball
Oakland Athletics,Atlanta Braves,"May 30, 2023",Baseball
Seattle Mariners,New York Yankees,"May 30, 2023",Baseball
San Francisco Giants,Pittsburgh Pirates,"May 30, 2023",Baseball
St. Louis Cardinals,Kansas City Royals,"May 30, 2023",Baseball
Toronto Blue Jays,Milwaukee Brewers,"May 30, 2023",Baseball
Arizona Diamondbacks,Colorado Rockies,"May 31, 2023",Baseball
Baltimore Orioles,Cleveland Guardians,"May 31, 2023",Baseball
Boston Red Sox,Cincinnati Reds,"May 31, 2023",Baseball
Chicago White Sox,Los Angeles Angels,"May 31, 2023",Baseball
Chicago Cubs,Tampa Bay Rays,"May 31, 2023",Baseball
Detroit Tigers,Texas Rangers,"May 31, 2023",Baseball
Houston Astros,Minnesota Twins,"May 31, 2023",Baseball
Los Angeles Dodgers,Washington Nationals,"May 31, 2023",Baseball
Miami Marlins,San Diego Padres,"May 31, 2023",Baseball
New York Mets,Philadelphia Phillies,"May 31, 2023",Baseball
Oakland Athletics,Atlanta Braves,"May 31, 2023",Baseball
Seattle Mariners,New York Yankees,"May 31, 2023",Baseball
San Francisco Giants,Pittsburgh Pirates,"May 31, 2023",Baseball
Toronto Blue Jays,Milwaukee Brewers,"May 31, 2023",Baseball
Arizona Diamondbacks,Colorado Rockies,"June 01, 2023",Baseball
Boston Red Sox,Cincinnati Reds,"June 01, 2023",Baseball
Houston Astros,Los Angeles Angels,"June 01, 2023",Baseball
Miami Marlins,San Diego Padres,"June 01, 2023",Baseball
Minnesota Twins,Cleveland Guardians,"June 01, 2023",Baseball
New York Mets,Philadelphia Phillies,"June 01, 2023",Baseball
Toronto Blue Jays,Milwaukee Brewers,"June 01, 2023",Baseball
Arizona Diamondbacks,Atlanta Braves,"June 02, 2023",Baseball
Chicago White Sox,Detroit Tigers,"June 02, 2023",Baseball
Cincinnati Reds,Milwaukee Brewers,"June 02, 2023",Baseball
Houston Astros,Los Angeles Angels,"June 02, 2023",Baseball
