id,game_date,home_team,road_team,city,state,league,sport
284,2023-04-09,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
285,2023-04-09,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
286,2023-04-09,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
287,2023-04-09,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
288,2023-04-09,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
289,2023-04-09,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
290,2023-04-09,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
291,2023-04-09,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
292,2023-04-09,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
293,2023-04-09,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
294,2023-04-09,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
295,2023-04-09,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
296,2023-04-09,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
297,2023-04-10,Los Angeles Angels,Washington Nationals,Los Angeles,California,MLB,Baseball
298,2023-04-10,Arizona Diamondbacks,Milwaukee Brewers,Phoenix,Arizona,MLB,Baseball
299,2023-04-10,Atlanta Braves,Cincinnati Reds,Atlanta,Georgia,MLB,Baseball
300,2023-04-10,Baltimore Orioles,Oakland Athletics,Baltimore,Maryland,MLB,Baseball
301,2023-04-10,Chicago Cubs,Seattle Mariners,Chicago,Illinois,MLB,Baseball
